Gender,Age,Academic Pressure,CGPA,Study Satisfaction,Sleep Duration,Dietary Habits,Degree,Have you ever had suicidal thoughts ?,Work/Study Hours,Financial Stress,Family History of Mental Illness,Depression
Male,25,3,8.91,2,'Less than 5 hours',Unhealthy,M.Com,Yes,5,5,Yes,1
Female,29,3,9.96,4,'5-6 hours',Healthy,M.Com,No,9,3,No,0
Male,18,3,9.98,4,'Less than 5 hours',Unhealthy,'Class 12',Yes,11,1,Yes,1
Male,19,5,6.53,5,'More than 8 hours',Healthy,'Class 12',Yes,8,2,No,1
Female,21,5,5.06,4,'5-6 hours',Moderate,MHM,Yes,5,3,Yes,1
Female,21,4,8.95,1,'7-8 hours',Unhealthy,B.Arch,Yes,4,5,Yes,1
Female,33,1,9.72,4,'7-8 hours',Moderate,LLB,No,3,3,Yes,0
Male,29,1,5.84,5,'7-8 hours',Healthy,M.Tech,Yes,5,5,Yes,0
Male,18,2,7.53,2,'7-8 hours',Unhealthy,'Class 12',Yes,5,5,Yes,1
Male,29,3,7.88,3,'Less than 5 hours',Moderate,B.Ed,Yes,10,2,Yes,1
Male,18,3,8.91,3,'Less than 5 hours',Unhealthy,'Class 12',No,11,5,Yes,1
Male,33,4,8.56,5,'More than 8 hours',Healthy,B.Com,Yes,0,5,No,1
Male,22,1,7.47,4,'More than 8 hours',Healthy,B.Com,Yes,11,3,Yes,0
Male,33,2,5.56,2,'More than 8 hours',Unhealthy,MBA,No,6,2,No,1
Female,34,1,9.72,2,'7-8 hours',Unhealthy,B.Ed,No,1,1,Yes,0
Male,29,3,8.39,2,'Less than 5 hours',Healthy,BHM,Yes,6,1,Yes,1
Male,28,2,7.21,4,'Less than 5 hours',Moderate,B.Arch,No,3,2,No,0
Male,19,5,8.91,4,'7-8 hours',Healthy,'Class 12',Yes,9,1,No,0
Male,29,5,6.42,2,'7-8 hours',Moderate,BCA,Yes,11,4,No,1
Female,21,5,8.52,1,'Less than 5 hours',Unhealthy,B.Tech,No,12,1,No,1
Male,21,3,8.74,4,'Less than 5 hours',Unhealthy,MSc,No,10,1,No,0
Female,25,3,5.39,1,'7-8 hours',Moderate,B.Ed,Yes,3,4,No,1
Male,34,2,5.47,4,'More than 8 hours',Moderate,M.Pharm,Yes,11,3,No,0
Female,21,1,8.28,2,'5-6 hours',Moderate,B.Arch,Yes,2,5,No,1
Female,25,2,9.63,3,'7-8 hours',Healthy,BHM,No,11,1,No,0
Male,18,3,7.77,5,'More than 8 hours',Moderate,'Class 12',No,11,4,No,1
Male,19,4,7.37,2,'Less than 5 hours',Moderate,'Class 12',Yes,11,5,Yes,1
Male,32,5,7.91,1,'5-6 hours',Unhealthy,BCA,Yes,12,5,Yes,1
Female,28,5,5.37,2,'More than 8 hours',Unhealthy,MCA,Yes,10,5,No,1
Female,22,5,5.76,2,'Less than 5 hours',Healthy,BA,Yes,7,3,No,1
Male,24,1,7.77,5,'Less than 5 hours',Moderate,B.Ed,No,5,1,No,0
Male,27,2,5.12,5,'7-8 hours',Healthy,BSc,Yes,6,2,No,0
Male,19,3,7.51,3,'More than 8 hours',Moderate,'Class 12',Yes,9,4,Yes,0
Male,29,4,6.99,4,'7-8 hours',Healthy,MSc,Yes,10,4,Yes,0
Female,31,3,8.81,4,'Less than 5 hours',Healthy,M.Pharm,No,12,4,No,0
Male,32,1,9.89,2,'7-8 hours',Healthy,B.Ed,Yes,10,5,Yes,1
Male,26,1,9.21,3,'More than 8 hours',Unhealthy,B.Tech,Yes,7,5,No,0
Male,24,1,7.85,3,'More than 8 hours',Moderate,M.Tech,Yes,6,1,Yes,0
Male,24,5,6.63,5,'Less than 5 hours',Moderate,'Class 12',Yes,12,2,No,1
Male,23,3,7.52,4,'5-6 hours',Healthy,B.Com,No,12,2,No,0
Female,22,2,5.85,2,'7-8 hours',Moderate,B.Com,No,2,1,No,0
Male,32,3,6.02,2,'Less than 5 hours',Moderate,B.Arch,Yes,8,3,Yes,1
Female,24,5,5.84,3,'7-8 hours',Unhealthy,B.Arch,Yes,12,2,No,1
Male,24,2,8.04,3,'5-6 hours',Moderate,B.Com,Yes,2,4,Yes,0
Male,31,1,5.85,1,'7-8 hours',Healthy,MCA,Yes,2,2,Yes,0
Male,32,2,8.14,5,'7-8 hours',Unhealthy,B.Tech,No,0,4,No,0
Male,30,5,7.24,4,'More than 8 hours',Moderate,B.Com,No,6,2,No,0
Female,18,3,6.17,2,'7-8 hours',Moderate,'Class 12',Yes,10,1,No,1
Male,25,4,9.93,5,'7-8 hours',Moderate,B.Ed,No,11,3,Yes,0
Female,25,4,5.27,4,'7-8 hours',Moderate,BA,No,1,1,No,0
Male,28,1,5.86,4,'More than 8 hours',Healthy,MD,No,1,3,Yes,0
Female,21,3,9.56,5,'7-8 hours',Unhealthy,M.Com,Yes,2,1,Yes,1
Male,32,3,6.27,2,'7-8 hours',Moderate,LLB,Yes,2,4,No,1
Male,20,5,8.04,2,'7-8 hours',Moderate,'Class 12',Yes,6,5,Yes,1
Female,28,5,5.16,5,'5-6 hours',Moderate,B.Pharm,No,0,1,Yes,0
Female,19,4,7.88,3,'More than 8 hours',Unhealthy,'Class 12',Yes,3,5,No,1
Female,22,3,8.08,5,'5-6 hours',Healthy,M.Tech,No,12,2,No,0
Male,31,1,9.92,2,'5-6 hours',Moderate,MA,No,0,3,Yes,0
Female,34,5,8.95,5,'5-6 hours',Unhealthy,PhD,Yes,9,5,Yes,1
Male,22,3,7.11,3,'Less than 5 hours',Healthy,MSc,Yes,10,5,Yes,1
Male,18,5,8.35,5,'7-8 hours',Unhealthy,'Class 12',No,10,3,Yes,1
Male,19,3,6.75,4,'More than 8 hours',Unhealthy,'Class 12',Yes,6,5,No,1
Female,24,1,7.77,4,'Less than 5 hours',Healthy,BHM,Yes,0,4,No,1
Male,21,5,8.39,1,'Less than 5 hours',Unhealthy,MCA,Yes,12,3,Yes,1
Female,29,2,5.27,5,'Less than 5 hours',Unhealthy,ME,No,9,5,No,0
Male,29,3,7.25,3,'Less than 5 hours',Healthy,B.Ed,Yes,3,1,Yes,1
Male,25,3,8.74,2,'7-8 hours',Unhealthy,B.Com,Yes,6,3,No,1
Male,20,4,7.5,2,'Less than 5 hours',Moderate,'Class 12',Yes,1,4,Yes,1
Male,28,1,8.52,4,'More than 8 hours',Moderate,MBA,Yes,12,4,No,0
Female,20,3,8.91,4,'5-6 hours',Moderate,'Class 12',Yes,10,4,No,0
Male,21,1,6.51,5,'More than 8 hours',Unhealthy,B.Com,No,1,2,No,0
Female,28,5,9.56,3,'5-6 hours',Unhealthy,MHM,Yes,10,2,No,1
Male,23,3,5.77,4,'5-6 hours',Moderate,B.Tech,Yes,12,1,Yes,1
Male,32,3,7.83,5,'More than 8 hours',Moderate,BE,No,5,1,No,0
Male,29,4,9.89,2,'Less than 5 hours',Unhealthy,BSc,Yes,6,1,No,1
Female,21,3,5.79,5,'Less than 5 hours',Moderate,B.Com,Yes,6,5,No,1
Male,33,5,8.04,2,'5-6 hours',Unhealthy,B.Pharm,Yes,3,3,No,1
Male,19,5,8.14,2,'5-6 hours',Moderate,'Class 12',Yes,11,5,Yes,1
Male,34,5,9.95,1,'Less than 5 hours',Unhealthy,MSc,No,6,4,No,1
Male,24,1,7.48,5,'More than 8 hours',Healthy,BCA,No,3,3,No,0
Female,28,1,8.9,5,'7-8 hours',Moderate,MHM,No,3,2,Yes,0
Female,28,4,8.96,1,'More than 8 hours',Moderate,M.Ed,Yes,6,4,No,1
Male,34,2,9.74,1,'5-6 hours',Moderate,BSc,No,6,4,Yes,0
Female,29,3,5.45,3,'5-6 hours',Unhealthy,BE,No,12,3,Yes,1
Female,24,5,8.59,1,'Less than 5 hours',Unhealthy,BHM,Yes,10,5,No,1
Female,21,5,7.39,5,'Less than 5 hours',Moderate,MSc,Yes,12,4,Yes,1
Female,27,3,5.58,4,'7-8 hours',Moderate,BE,Yes,9,1,Yes,1
Male,18,4,7.17,1,'Less than 5 hours',Unhealthy,'Class 12',Yes,12,5,Yes,1
Male,23,5,6.26,1,'More than 8 hours',Healthy,B.Tech,Yes,8,2,No,1
Female,20,3,5.16,5,'Less than 5 hours',Unhealthy,'Class 12',Yes,3,5,No,1
Male,25,5,9.11,1,'Less than 5 hours',Unhealthy,BA,Yes,2,3,No,1
Female,27,5,7.22,2,'Less than 5 hours',Healthy,BBA,Yes,4,5,Yes,0
Male,21,5,5.83,5,'Less than 5 hours',Unhealthy,B.Ed,Yes,10,4,Yes,1
Male,24,1,5.38,2,'5-6 hours',Moderate,MBA,No,12,4,Yes,0
Female,28,1,5.58,3,'More than 8 hours',Moderate,B.Ed,No,2,5,No,0
Male,22,2,7.08,4,'5-6 hours',Moderate,BCA,Yes,6,5,No,1
Male,30,1,6.37,4,'More than 8 hours',Moderate,BA,Yes,12,4,No,0
Female,25,4,5.47,2,'5-6 hours',Moderate,MCA,Yes,10,4,No,1
Male,25,5,5.79,3,'7-8 hours',Unhealthy,B.Tech,Yes,10,2,Yes,1
Female,31,3,10.0,5,'5-6 hours',Moderate,M.Ed,Yes,12,1,Yes,1
Male,29,1,9.44,2,'Less than 5 hours',Unhealthy,M.Pharm,No,10,1,No,0
Female,30,3,7.6,5,'7-8 hours',Moderate,BSc,No,7,1,No,0
Male,20,4,5.88,3,'Less than 5 hours',Healthy,'Class 12',Yes,9,4,Yes,1
Male,19,5,9.78,5,'More than 8 hours',Unhealthy,'Class 12',Yes,10,5,No,1
Male,24,5,8.74,2,'5-6 hours',Healthy,BCA,Yes,11,1,Yes,1
Male,20,2,8.32,4,'7-8 hours',Unhealthy,'Class 12',No,11,4,No,0
Male,31,2,8.44,3,'More than 8 hours',Unhealthy,LLM,Yes,5,4,Yes,1
Female,33,1,8.95,1,'Less than 5 hours',Unhealthy,M.Com,Yes,3,2,No,0
Male,18,4,7.94,2,'More than 8 hours',Moderate,'Class 12',Yes,9,3,No,1
Male,20,5,6.16,3,'Less than 5 hours',Unhealthy,'Class 12',Yes,7,1,Yes,1
Female,23,1,6.83,1,'Less than 5 hours',Healthy,B.Com,No,10,4,No,0
Male,24,3,8.95,1,'7-8 hours',Moderate,B.Tech,Yes,11,3,Yes,1
Male,22,2,9.56,3,'Less than 5 hours',Healthy,B.Arch,Yes,10,4,No,0
Male,18,5,5.86,1,'7-8 hours',Unhealthy,'Class 12',No,11,4,No,1
Male,31,1,5.72,5,'5-6 hours',Healthy,'Class 12',No,10,3,No,0
Female,18,2,8.13,2,'Less than 5 hours',Healthy,'Class 12',Yes,9,5,Yes,1
Male,24,3,9.74,5,'5-6 hours',Moderate,B.Ed,Yes,6,5,Yes,1
Female,23,2,8.91,3,'More than 8 hours',Moderate,M.Ed,No,2,1,Yes,0
Female,30,1,5.99,1,'7-8 hours',Moderate,BA,No,8,3,No,0
Male,26,1,6.41,1,'More than 8 hours',Unhealthy,BE,No,3,2,Yes,0
Male,18,3,7.77,4,'5-6 hours',Healthy,'Class 12',Yes,4,2,No,1
Male,29,1,9.71,4,'Less than 5 hours',Moderate,LLM,No,1,2,No,0
Female,31,4,6.75,5,'More than 8 hours',Moderate,MBA,Yes,10,4,Yes,1
Female,20,5,6.08,5,'7-8 hours',Moderate,'Class 12',Yes,10,4,No,1
Male,18,5,8.17,4,'5-6 hours',Healthy,'Class 12',Yes,12,5,No,1
Female,29,4,8.95,2,'7-8 hours',Moderate,M.Ed,Yes,10,2,Yes,1
Male,19,2,9.93,5,'More than 8 hours',Unhealthy,'Class 12',Yes,4,1,Yes,0
Male,33,4,6.36,4,'5-6 hours',Unhealthy,M.Tech,Yes,12,5,Yes,0
Female,19,4,6.37,1,'7-8 hours',Moderate,'Class 12',Yes,10,5,Yes,1
Male,24,4,9.66,5,'7-8 hours',Moderate,BE,Yes,12,3,No,1
Female,21,1,9.86,3,'7-8 hours',Healthy,MCA,No,6,4,No,0
Female,26,1,5.56,2,'7-8 hours',Moderate,M.Ed,Yes,5,4,No,0
Female,20,5,8.25,5,'7-8 hours',Unhealthy,'Class 12',No,3,5,Yes,1
Male,33,5,9.44,5,'5-6 hours',Unhealthy,MA,Yes,10,5,Yes,0
Male,20,5,8.93,2,'Less than 5 hours',Unhealthy,'Class 12',Yes,6,4,Yes,1
Female,28,5,6.78,2,'5-6 hours',Moderate,BA,Yes,0,3,Yes,0
Female,19,3,8.7,1,'5-6 hours',Moderate,'Class 12',Yes,7,3,No,1
Female,23,3,9.39,3,'7-8 hours',Unhealthy,BBA,Yes,12,4,No,1
Male,33,1,8.09,3,'5-6 hours',Unhealthy,BCA,Yes,12,4,No,1
Male,24,4,8.04,2,'Less than 5 hours',Unhealthy,M.Ed,Yes,8,3,Yes,1
Male,20,4,5.55,3,'7-8 hours',Unhealthy,'Class 12',Yes,11,5,Yes,1
Male,31,1,6.51,3,'Less than 5 hours',Healthy,MBA,Yes,2,3,No,1
Male,32,5,9.6,2,'7-8 hours',Unhealthy,M.Tech,No,9,4,No,1
Male,34,1,7.88,4,'5-6 hours',Moderate,BCA,Yes,10,3,No,0
Male,18,4,6.89,4,'Less than 5 hours',Moderate,'Class 12',Yes,6,2,No,1
Female,31,4,8.54,3,'Less than 5 hours',Moderate,M.Ed,No,10,2,Yes,0
Male,29,2,9.91,3,'7-8 hours',Healthy,MA,No,4,2,Yes,0
Female,25,3,6.78,5,'7-8 hours',Moderate,B.Com,Yes,8,4,No,1
Male,24,3,8.17,2,'Less than 5 hours',Healthy,BA,Yes,11,3,No,1
Female,29,5,9.96,1,'7-8 hours',Moderate,LLM,No,10,5,No,1
Male,33,1,6.28,3,'7-8 hours',Moderate,B.Com,No,7,1,No,0
Male,29,5,8.91,1,'More than 8 hours',Moderate,M.Ed,Yes,10,1,No,1
Female,21,4,7.94,4,'5-6 hours',Healthy,MA,Yes,7,3,No,1
Male,20,3,7.25,2,'More than 8 hours',Unhealthy,'Class 12',Yes,12,4,Yes,1
Male,23,2,9.43,5,'More than 8 hours',Moderate,MSc,Yes,8,1,Yes,0
Male,28,4,8.44,3,'5-6 hours',Moderate,M.Pharm,Yes,11,3,Yes,1
Male,32,1,7.04,2,'Less than 5 hours',Moderate,B.Tech,No,3,3,No,0
Female,34,1,6.0,3,'5-6 hours',Healthy,BCA,Yes,11,1,No,0
Female,33,3,5.74,1,'7-8 hours',Healthy,MA,Yes,1,3,No,0
Female,20,5,8.17,3,'7-8 hours',Unhealthy,'Class 12',Yes,10,5,Yes,1
Female,19,3,7.5,5,'Less than 5 hours',Moderate,'Class 12',Yes,5,3,No,1
Male,33,1,9.95,3,'More than 8 hours',Moderate,B.Ed,No,12,1,No,0
Male,26,4,8.24,4,'More than 8 hours',Unhealthy,B.Arch,Yes,10,4,Yes,1
Male,32,1,10.0,2,'Less than 5 hours',Moderate,LLB,Yes,12,3,Yes,1
Male,18,5,8.63,5,'7-8 hours',Healthy,'Class 12',Yes,10,3,Yes,1
Female,24,4,9.93,3,'7-8 hours',Unhealthy,BSc,Yes,6,5,No,1
Male,26,4,6.08,3,'5-6 hours',Moderate,B.Pharm,Yes,6,4,No,1
Male,26,3,8.63,2,'Less than 5 hours',Healthy,B.Tech,No,2,3,No,0
Female,21,2,5.85,2,'More than 8 hours',Moderate,MCA,Yes,2,5,No,1
Male,21,4,9.96,4,'Less than 5 hours',Unhealthy,B.Com,Yes,10,1,No,1
Male,20,3,9.19,5,'7-8 hours',Healthy,'Class 12',No,11,4,No,0
Male,33,3,8.78,2,'More than 8 hours',Moderate,MD,No,8,3,Yes,1
Male,34,1,7.75,4,'5-6 hours',Healthy,B.Ed,No,12,5,Yes,0
Male,20,4,5.64,2,'7-8 hours',Healthy,'Class 12',No,2,3,No,0
Male,33,2,6.47,4,'7-8 hours',Unhealthy,PhD,Yes,6,4,Yes,0
Male,34,2,7.25,3,'More than 8 hours',Unhealthy,BSc,Yes,7,1,No,0
Male,28,4,6.75,3,'Less than 5 hours',Moderate,MCA,Yes,10,3,No,1
Male,29,3,6.21,2,'5-6 hours',Moderate,B.Pharm,Yes,3,5,Yes,1
Male,25,2,7.25,4,'More than 8 hours',Healthy,B.Tech,Yes,2,1,No,0
Male,23,3,9.96,4,'Less than 5 hours',Moderate,BHM,No,11,1,No,0
Female,24,5,6.17,1,'5-6 hours',Unhealthy,M.Tech,Yes,11,5,Yes,1
Female,22,5,8.04,1,'7-8 hours',Healthy,BBA,Yes,12,5,No,1
Male,26,2,8.14,5,'5-6 hours',Moderate,M.Tech,No,4,2,No,0
Male,30,3,8.73,5,'Less than 5 hours',Moderate,MCA,Yes,9,5,No,1
Male,34,5,5.37,2,'Less than 5 hours',Moderate,BBA,Yes,7,2,No,0
Female,27,3,5.9,4,'Less than 5 hours',Unhealthy,LLB,No,8,1,Yes,1
Female,33,5,7.88,2,'Less than 5 hours',Moderate,B.Pharm,Yes,12,3,No,1
Male,33,3,8.16,4,'7-8 hours',Moderate,MBBS,No,12,1,No,0
Male,29,4,10.0,2,'7-8 hours',Unhealthy,MD,Yes,7,5,Yes,1
Male,31,5,5.11,3,'More than 8 hours',Moderate,LLM,Yes,10,5,No,1
Female,24,3,7.21,5,'5-6 hours',Unhealthy,'Class 12',Yes,9,5,No,1
Female,18,3,5.89,2,'More than 8 hours',Unhealthy,'Class 12',Yes,11,3,Yes,1
Male,23,2,7.92,2,'Less than 5 hours',Unhealthy,LLB,Yes,2,3,No,0
Female,20,1,6.83,3,'5-6 hours',Unhealthy,'Class 12',No,8,3,No,1
Female,18,5,6.16,5,'5-6 hours',Healthy,'Class 12',No,7,3,No,0
Male,18,5,5.11,2,'7-8 hours',Unhealthy,'Class 12',Yes,1,5,Yes,1
Female,34,1,7.09,3,'Less than 5 hours',Unhealthy,B.Ed,No,12,4,No,0
Male,27,2,5.7,4,'Less than 5 hours',Unhealthy,BCA,Yes,11,3,Yes,1
Female,33,3,9.17,1,'More than 8 hours',Moderate,BHM,No,5,4,No,0
Male,33,3,7.88,4,'More than 8 hours',Healthy,M.Ed,No,3,1,No,0
Male,30,3,9.91,3,'Less than 5 hours',Moderate,B.Pharm,Yes,4,1,No,1
Female,30,4,9.6,2,'Less than 5 hours',Moderate,B.Com,Yes,4,5,Yes,1
Male,34,4,9.96,4,'7-8 hours',Moderate,M.Pharm,Yes,5,3,No,1
Female,28,4,5.56,3,'7-8 hours',Healthy,B.Ed,No,1,3,No,0
Female,21,3,9.39,5,'Less than 5 hours',Moderate,MA,No,8,5,No,1
Female,27,4,7.32,1,'Less than 5 hours',Healthy,MBA,Yes,3,2,No,1
Male,26,2,9.96,4,'Less than 5 hours',Unhealthy,BCA,No,10,3,No,0
Male,25,3,5.79,4,'Less than 5 hours',Unhealthy,B.Com,No,7,3,Yes,1
Female,23,5,9.93,3,'Less than 5 hours',Moderate,B.Tech,Yes,7,5,Yes,1
Male,27,5,5.61,5,'5-6 hours',Unhealthy,MCA,Yes,10,5,No,1
Male,24,1,7.52,2,'5-6 hours',Healthy,B.Pharm,No,11,4,Yes,0
Male,18,2,6.78,5,'More than 8 hours',Unhealthy,'Class 12',No,8,1,No,0
Female,26,1,5.47,2,'Less than 5 hours',Unhealthy,B.Pharm,Yes,5,3,No,0
Male,20,2,9.89,2,'5-6 hours',Moderate,'Class 12',No,2,1,No,0
Male,33,1,5.64,5,'Less than 5 hours',Moderate,MD,Yes,2,1,No,0
Male,27,1,7.77,4,'More than 8 hours',Moderate,B.Ed,No,8,1,No,0
Male,23,1,5.74,3,'7-8 hours',Moderate,MSc,Yes,4,1,Yes,0
Male,27,5,8.59,1,'5-6 hours',Moderate,'Class 12',Yes,4,5,Yes,1
Female,20,4,5.16,5,'7-8 hours',Healthy,'Class 12',Yes,12,2,Yes,0
Male,25,4,6.75,2,'More than 8 hours',Unhealthy,BHM,Yes,8,2,No,1
Male,29,2,7.38,4,'7-8 hours',Moderate,M.Ed,Yes,8,1,Yes,0
Male,27,5,6.1,5,'7-8 hours',Unhealthy,B.Com,Yes,8,4,Yes,1
Female,25,4,5.57,2,'More than 8 hours',Moderate,M.Tech,No,0,4,No,0
Male,34,1,7.27,4,'More than 8 hours',Healthy,BCA,No,9,1,No,0
Male,27,4,5.99,3,'Less than 5 hours',Unhealthy,B.Tech,Yes,10,1,No,1
Female,20,4,6.25,2,'Less than 5 hours',Unhealthy,'Class 12',Yes,7,5,Yes,1
Male,26,4,9.04,2,'Less than 5 hours',Moderate,M.Com,Yes,4,5,Yes,1
Male,25,3,8.74,4,'Less than 5 hours',Unhealthy,B.Arch,Yes,12,3,Yes,0
Female,24,1,8.74,1,'5-6 hours',Moderate,B.Tech,Yes,7,3,No,0
Female,26,5,9.93,1,'5-6 hours',Healthy,B.Pharm,Yes,6,3,Yes,1
Male,30,5,6.83,3,'7-8 hours',Unhealthy,B.Arch,Yes,12,4,No,1
Female,27,1,7.77,2,'Less than 5 hours',Unhealthy,B.Com,No,10,5,No,0
Female,34,2,9.63,4,'7-8 hours',Healthy,B.Arch,No,2,5,No,0
Female,32,4,5.89,2,'7-8 hours',Healthy,MCA,Yes,11,4,Yes,1
Female,34,1,7.5,4,'5-6 hours',Moderate,MCA,Yes,3,1,Yes,0
Male,24,4,6.69,2,'7-8 hours',Unhealthy,BA,Yes,8,5,No,1
Female,21,1,9.67,5,'5-6 hours',Unhealthy,B.Arch,No,11,4,No,0
Male,31,2,7.26,4,'5-6 hours',Unhealthy,BE,Yes,4,1,Yes,0
Female,33,4,8.38,2,'Less than 5 hours',Healthy,'Class 12',No,9,5,Yes,1
Female,22,5,7.09,4,'5-6 hours',Healthy,B.Pharm,Yes,10,2,No,1
Male,18,4,6.74,1,'7-8 hours',Healthy,'Class 12',Yes,11,4,No,1
Male,18,5,7.3,5,'7-8 hours',Unhealthy,'Class 12',Yes,7,4,Yes,1
Female,30,3,7.35,1,'7-8 hours',Moderate,PhD,Yes,6,4,Yes,0
Male,21,2,9.12,3,'7-8 hours',Unhealthy,'Class 12',Yes,12,3,Yes,1
Male,29,1,9.84,1,'More than 8 hours',Moderate,B.Ed,Yes,10,2,Yes,0
Female,25,5,5.97,1,'More than 8 hours',Moderate,B.Pharm,Yes,8,5,Yes,1
Male,21,2,8.04,1,'More than 8 hours',Unhealthy,B.Arch,Yes,6,5,No,1
Male,29,1,8.0,2,'7-8 hours',Healthy,M.Pharm,No,3,1,No,0
Female,24,1,8.88,4,'7-8 hours',Healthy,BA,Yes,11,1,No,0
Male,26,5,6.51,5,'Less than 5 hours',Unhealthy,LLB,Yes,11,3,No,1
Female,30,1,9.24,4,'5-6 hours',Healthy,BE,No,5,5,Yes,0
Male,30,2,9.96,4,'Less than 5 hours',Moderate,MD,No,3,1,No,0
Male,22,5,5.82,1,'7-8 hours',Healthy,BA,Yes,7,3,No,1
Female,30,3,8.53,3,'5-6 hours',Unhealthy,B.Com,Yes,1,1,Yes,1
Male,29,2,7.53,4,'Less than 5 hours',Unhealthy,LLB,Yes,12,5,No,1
Male,24,2,7.08,4,'More than 8 hours',Unhealthy,B.Ed,No,3,3,Yes,0
Female,31,1,6.0,1,'Less than 5 hours',Moderate,M.Ed,No,6,3,No,0
Male,20,1,6.92,4,'7-8 hours',Moderate,'Class 12',Yes,5,5,Yes,1
Female,24,4,9.89,2,'5-6 hours',Moderate,MSc,Yes,8,1,Yes,1
Male,18,3,8.5,5,'7-8 hours',Unhealthy,'Class 12',Yes,8,5,Yes,1
Female,34,2,9.79,4,'7-8 hours',Moderate,MCA,No,8,1,No,0
Female,24,1,9.37,4,'Less than 5 hours',Unhealthy,MCA,Yes,5,5,Yes,1
Male,18,5,5.6,1,'Less than 5 hours',Unhealthy,'Class 12',Yes,6,2,No,1
Male,33,2,9.17,4,'Less than 5 hours',Healthy,PhD,No,9,3,Yes,0
Female,27,4,9.93,4,'Less than 5 hours',Unhealthy,B.Pharm,Yes,6,5,Yes,1
Female,30,3,8.35,1,'Less than 5 hours',Unhealthy,BSc,No,9,4,Yes,0
Male,28,3,7.02,1,'5-6 hours',Healthy,BCA,Yes,7,1,Yes,1
Female,28,2,7.09,3,'5-6 hours',Moderate,B.Arch,Yes,10,5,Yes,1
Male,33,1,7.88,1,'More than 8 hours',Moderate,B.Tech,No,8,5,Yes,0
Male,24,3,8.17,1,'Less than 5 hours',Moderate,B.Ed,Yes,10,1,Yes,1
Male,22,5,6.17,2,'7-8 hours',Unhealthy,MCA,Yes,5,3,Yes,1
Female,27,5,5.16,2,'7-8 hours',Moderate,B.Com,No,8,5,Yes,0
Male,21,1,7.94,5,'More than 8 hours',Unhealthy,M.Tech,Yes,4,5,No,1
Male,23,2,9.24,2,'7-8 hours',Unhealthy,B.Tech,No,11,1,No,0
Male,23,4,5.85,1,'5-6 hours',Healthy,M.Com,No,0,1,No,0
Male,20,5,6.91,5,'Less than 5 hours',Unhealthy,'Class 12',Yes,11,5,No,1
Male,28,1,5.11,3,'7-8 hours',Moderate,BCA,Yes,0,4,Yes,0
Male,19,4,7.38,1,'More than 8 hours',Unhealthy,'Class 12',Yes,1,4,No,1
Female,27,3,5.67,3,'More than 8 hours',Unhealthy,B.Pharm,Yes,4,4,No,0
Female,21,3,5.58,1,'Less than 5 hours',Moderate,B.Arch,Yes,8,4,Yes,1
Female,18,2,8.91,5,'5-6 hours',Moderate,'Class 12',Yes,5,1,Yes,1
Male,26,4,9.67,3,'5-6 hours',Healthy,B.Ed,Yes,7,5,No,1
Male,22,2,7.39,1,'Less than 5 hours',Unhealthy,BHM,No,12,5,Yes,1
Male,20,3,8.32,1,'Less than 5 hours',Moderate,'Class 12',Yes,10,5,No,1
Female,24,4,5.8,4,'7-8 hours',Healthy,MCA,Yes,7,4,Yes,1
Male,27,3,8.7,1,'5-6 hours',Moderate,M.Ed,No,10,4,No,0
Female,18,5,9.79,2,'More than 8 hours',Moderate,'Class 12',No,3,2,No,1
Female,30,2,8.4,3,'More than 8 hours',Unhealthy,BBA,Yes,11,4,No,1
Female,32,2,5.74,3,'Less than 5 hours',Healthy,MD,Yes,10,3,Yes,1
Female,25,1,6.36,4,'5-6 hours',Unhealthy,BCA,Yes,0,1,No,0
Female,27,1,9.92,4,'More than 8 hours',Moderate,B.Pharm,No,6,1,Yes,0
Male,31,3,7.5,1,'5-6 hours',Healthy,M.Com,Yes,12,4,Yes,1
Female,24,4,9.6,5,'5-6 hours',Healthy,B.Arch,No,10,2,Yes,0
Male,18,3,7.25,4,'More than 8 hours',Unhealthy,'Class 12',Yes,12,4,No,1
Female,23,5,8.37,3,'7-8 hours',Unhealthy,'Class 12',No,12,3,No,1
Male,31,1,9.41,1,'5-6 hours',Healthy,MA,Yes,11,2,No,0
Male,25,4,8.04,4,'Less than 5 hours',Unhealthy,LLM,Yes,10,5,No,1
Male,27,3,5.57,5,'More than 8 hours',Unhealthy,BCA,Yes,3,5,No,1
Male,33,1,9.6,4,'More than 8 hours',Unhealthy,B.Ed,No,7,1,Yes,0
Female,20,5,6.35,3,'5-6 hours',Unhealthy,'Class 12',Yes,8,4,No,1
Male,29,2,9.24,2,'More than 8 hours',Healthy,LLB,No,0,5,No,0
Male,23,2,8.14,5,'Less than 5 hours',Healthy,BSc,Yes,12,5,No,1
Male,24,3,9.84,5,'5-6 hours',Unhealthy,MSc,Yes,0,5,No,1
Male,26,1,5.64,2,'7-8 hours',Unhealthy,B.Ed,Yes,9,5,No,1
Male,21,3,8.95,2,'7-8 hours',Unhealthy,MBA,Yes,8,5,No,1
Male,28,4,6.38,2,'More than 8 hours',Unhealthy,B.Tech,Yes,10,3,No,1
Female,23,5,9.88,1,'Less than 5 hours',Unhealthy,M.Ed,Yes,12,2,Yes,1
Male,26,3,6.16,4,'More than 8 hours',Unhealthy,M.Tech,Yes,10,4,No,1
Female,32,2,5.86,4,'5-6 hours',Moderate,B.Ed,Yes,6,4,No,0
